,date,Daily PnL($),Cumulative PnL($),equity,Daily PnL(%),Cumulative PnL(%)
80,2012-03-22,25.11111111111108,-94.2222222222216,9905.77777777778,0.2541438949238639,-0.942222222222211
81,2012-03-23,25.11111111111108,-69.11111111111052,9930.888888888889,0.25349964106244904,-0.691111111111109
82,2012-03-24,0.0,-69.11111111111052,9930.888888888889,0.0,-0.691111111111109
83,2012-03-25,0.0,-69.11111111111052,9930.888888888889,0.0,-0.691111111111109
84,2012-03-26,25.11111111111108,-43.99999999999944,9956.0,0.2528586453042214,-0.43999999999998485
85,2012-03-27,25.11111111111108,-18.88888888888836,9981.111111111111,0.2522208829963013,-0.1888888888888718
86,2012-03-28,25.11111111111108,6.222222222222719,10006.222222222223,0.2515863297339438,0.06222222222223017
87,2012-03-29,25.11111111111108,31.333333333333798,10031.333333333334,0.2509549613573858,0.31333333333334323
88,2012-03-30,25.11111111111108,56.444444444444876,10056.444444444445,0.2503267539487375,0.5644444444444563
89,2012-03-31,0.0,56.444444444444876,10056.444444444445,0.0,0.5644444444444563
90,2012-04-01,0.0,56.444444444444876,10056.444444444445,0.0,0.5644444444444563
91,2012-04-02,-23.7124183006536,32.73202614379127,10032.73202614379,-0.23579326104420373,0.3273202614379134
92,2012-04-03,-23.7124183006536,9.019607843137674,10009.019607843138,-0.23635055973648678,0.09019607843139266
93,2012-04-04,-23.7124183006536,-14.692810457515925,9985.307189542484,-0.2369104990270321,-0.14692810457515026
94,2012-04-05,-23.7124183006536,-38.40522875816953,9961.594771241831,-0.2374730977278916,-0.384052287581671
95,2012-04-06,0.0,-38.40522875816953,9961.594771241831,0.0,-0.384052287581671
96,2012-04-07,0.0,-38.40522875816953,9961.594771241831,0.0,-0.384052287581671
97,2012-04-08,0.0,-38.40522875816953,9961.594771241831,0.0,-0.384052287581671
98,2012-04-09,-23.7124183006536,-62.117647058823124,9937.882352941177,-0.23803837483040713,-0.621176470588225
99,2012-04-10,-23.7124183006536,-85.83006535947672,9914.169934640524,-0.23860634950699788,-0.8583006535947568
100,2012-04-11,-23.7124183006536,-109.54248366013032,9890.45751633987,-0.23917704111366955,-1.0954248366012997
101,2012-04-12,-23.7124183006536,-133.2549019607839,9866.745098039217,-0.2397504691919239,-1.3325490196078316
102,2012-04-13,-23.7124183006536,-156.96732026143752,9843.032679738562,-0.2403266534712345,-1.5696732026143745
103,2012-04-14,0.0,-156.96732026143752,9843.032679738562,0.0,-1.5696732026143745
