Open_Date,Expiration_date,Underlying_at_Open,Underlying_at_Expiraion,Call_Strikes,Put_Strikes,Total Premium Collected,Total Payout,Total PnL
2013-10-01,2013-11-15,169.34,180.05,174.0,163.0,2.61,6.05,-3.44
2013-11-01,2013-12-20,176.21001,181.56,181.0,170.0,2.37,0.56,1.81
2013-12-02,2014-01-17,180.53,183.63499,184.0,174.0,2.52,0.0,2.52
2014-01-02,2014-02-21,182.92,183.89,188.0,177.0,2.62,0.0,2.62
2014-02-03,2014-03-21,174.17,186.2,181.0,165.0,3.19,5.2,-2.01
2014-03-03,2014-04-17,184.98,186.39,189.0,177.0,2.79,0.0,2.79
2014-04-01,2014-05-16,188.25,188.05,193.0,182.0,2.27,0.0,2.27
2014-05-01,2014-06-13,188.325,194.13,192.5,182.5,2.36,1.63,0.73
2014-06-02,2014-07-18,192.895,197.7099,196.0,186.0,2.27,1.71,0.56
2014-07-01,2014-08-15,197.03,195.72,200.0,192.0,2.39,0.0,2.39
2014-08-01,2014-09-12,192.5,199.13,198.0,185.0,2.79,1.13,1.66
2014-09-02,2014-10-17,200.61,188.47,205.0,194.0,2.25,5.53,-3.28
2014-10-01,2014-11-21,194.35001,206.67999,201.0,186.0,3.24,5.68,-2.44
2014-11-03,2014-12-19,201.77,206.52,207.0,193.0,3.03,0.0,3.03
2014-12-01,2015-01-16,205.75999,201.63,210.0,198.0,3.1,0.0,3.1
2015-01-02,2015-02-13,205.42999,209.78,211.5,197.5,3.07,0.0,3.07
2015-02-02,2015-03-20,201.92,210.41,209.0,191.0,3.52,1.41,2.11
2015-03-02,2015-04-17,211.99001,207.95,216.0,204.0,2.8,0.0,2.8
2015-04-01,2015-05-15,205.7,212.44,212.0,198.0,2.99,0.44,2.55
2015-05-01,2015-06-12,210.72,210.00999,216.0,204.0,2.39,0.0,2.39
2015-06-01,2015-07-17,211.57001,212.48,216.0,203.0,2.78,0.0,2.78
2015-07-01,2015-08-21,207.5,197.63,214.0,199.0,3.39,1.37,2.02
2015-08-03,2015-09-18,209.78999,195.45,215.0,202.0,2.61,6.55,-3.94
2015-09-01,2015-10-16,191.77,203.27,201.0,178.0,5.65,2.27,3.38
2015-10-01,2015-11-13,192.13,202.53999,200.0,182.5,4.05,2.54,1.51
2015-11-02,2015-12-18,210.39,200.0208,216.0,202.0,2.9,1.98,0.92
2015-12-01,2016-01-15,210.67999,187.81,215.0,202.0,3.13,14.19,-11.06
2016-01-04,2016-02-19,201.0192,192.0,208.0,191.0,3.98,0.0,3.98
2016-02-01,2016-03-18,193.64999,204.38,201.0,183.0,3.86,3.38,0.48
2016-03-01,2016-04-15,198.11,207.78,204.0,188.0,3.35,3.78,-0.43
2016-04-01,2016-05-13,206.92,204.75999,212.0,200.5,2.49,0.0,2.49
2016-05-02,2016-06-17,207.97,206.52,213.0,199.0,3.07,0.0,3.07
2016-06-01,2016-07-15,210.27,215.83,214.0,202.0,2.78,1.83,0.95
2016-07-01,2016-08-12,209.92081,218.46001,215.5,203.0,2.69,2.96,-0.27
2016-08-01,2016-09-16,216.94,213.37,222.0,209.0,2.47,0.0,2.47
2016-09-01,2016-10-14,217.39,213.12,221.5,210.0,2.64,0.0,2.64
2016-10-03,2016-11-18,215.78,218.5,221.0,208.0,3.28,0.0,3.28
2016-11-01,2016-12-16,211.00999,225.03999,218.0,201.0,3.54,7.04,-3.5
2016-12-01,2017-01-13,219.57001,227.05,224.0,212.5,2.99,3.05,-0.06
2017-01-03,2017-02-17,225.24001,235.09,231.0,218.0,2.66,4.09,-1.43
2017-02-01,2017-03-17,227.62,237.03,233.0,220.0,2.33,4.03,-1.7
2017-03-01,2017-04-21,239.78,234.59,245.0,232.0,2.85,0.0,2.85
2017-04-03,2017-05-19,235.33,238.31,241.0,229.0,2.64,0.0,2.64
2017-05-01,2017-06-16,238.67999,242.64,243.0,232.0,2.52,0.0,2.52
2017-06-01,2017-07-14,243.36,245.56,246.5,237.0,2.08,0.0,2.08
2017-07-03,2017-08-18,242.21001,242.71001,247.0,236.0,2.62,0.0,2.62
2017-08-01,2017-09-15,247.32001,249.19,251.0,241.0,2.26,0.0,2.26
