date,position_0_pnl,position_1_pnl,daily_pnl,is_rebalancing_day,is_trading_day,cumulative_pnl
2012-01-03,0.0,-0.008181818181818182,-0.008181818181818182,True,True,-0.008181818181818182
2012-01-04,0.0,-0.008181818181818182,-0.008181818181818182,False,True,-0.016363636363636365
2012-01-05,0.0,-0.008181818181818182,-0.008181818181818182,False,True,-0.024545454545454547
2012-01-06,0.0,-0.008181818181818182,-0.008181818181818182,False,True,-0.03272727272727273
2012-01-07,0.0,0.0,0.0,False,False,-0.03272727272727273
2012-01-08,0.0,0.0,0.0,False,False,-0.03272727272727273
2012-01-09,0.0,-0.008181818181818182,-0.008181818181818182,False,True,-0.04090909090909091
2012-01-10,0.0,-0.008181818181818182,-0.008181818181818182,False,True,-0.04909090909090909
2012-01-11,0.0,-0.008181818181818182,-0.008181818181818182,False,True,-0.05727272727272727
2012-01-12,0.0,-0.008181818181818182,-0.008181818181818182,False,True,-0.06545454545454545
2012-01-13,0.0,-0.008181818181818182,-0.008181818181818182,False,True,-0.07363636363636362
2012-01-14,0.0,0.0,0.0,False,False,-0.07363636363636362
2012-01-15,0.0,0.0,0.0,False,False,-0.07363636363636362
2012-01-16,0.0,0.0,0.0,False,False,-0.07363636363636362
2012-01-17,0.0,-0.008181818181818182,-0.008181818181818182,False,True,-0.0818181818181818
2012-01-18,0.0,-0.008181818181818182,-0.008181818181818182,False,True,-0.08999999999999998
2012-01-19,0.0,-0.008181818181818182,-0.008181818181818182,False,True,-0.09818181818181816
2012-01-20,0.0,-0.008181818181818182,-0.008181818181818182,False,True,-0.10636363636363634
2012-01-21,0.0,0.0,0.0,False,False,-0.10636363636363634
2012-01-22,0.0,0.0,0.0,False,False,-0.10636363636363634
2012-01-23,0.0,-0.008181818181818182,-0.008181818181818182,False,True,-0.11454545454545452
2012-01-24,0.0,-0.008181818181818182,-0.008181818181818182,False,True,-0.1227272727272727
2012-01-25,0.0,-0.008181818181818182,-0.008181818181818182,False,True,-0.1309090909090909
2012-01-26,0.0,-0.008181818181818182,-0.008181818181818182,False,True,-0.13909090909090907
2012-01-27,0.0,-0.008181818181818182,-0.008181818181818182,False,True,-0.14727272727272725
2012-01-28,0.0,0.0,0.0,False,False,-0.14727272727272725
2012-01-29,0.0,0.0,0.0,False,False,-0.14727272727272725
2012-01-30,0.0,-0.008181818181818182,-0.008181818181818182,False,True,-0.15545454545454543
2012-01-31,0.0,-0.008181818181818182,-0.008181818181818182,False,True,-0.1636363636363636
2012-02-01,-0.008181818181818182,-0.0303125,-0.038494318181818185,True,True,-0.20213068181818178
2012-02-02,-0.008181818181818182,-0.0303125,-0.038494318181818185,False,True,-0.24062499999999998
2012-02-03,-0.008181818181818182,-0.0303125,-0.038494318181818185,False,True,-0.2791193181818182
2012-02-04,0.0,0.0,0.0,False,False,-0.2791193181818182
2012-02-05,0.0,0.0,0.0,False,False,-0.2791193181818182
2012-02-06,-0.008181818181818182,-0.0303125,-0.038494318181818185,False,True,-0.3176136363636364
2012-02-07,-0.008181818181818182,-0.0303125,-0.038494318181818185,False,True,-0.3561079545454546
2012-02-08,-0.008181818181818182,-0.0303125,-0.038494318181818185,False,True,-0.3946022727272728
2012-02-09,-0.008181818181818182,-0.0303125,-0.038494318181818185,False,True,-0.433096590909091
2012-02-10,-0.008181818181818182,-0.0303125,-0.038494318181818185,False,True,-0.47159090909090917
2012-02-11,0.0,0.0,0.0,False,False,-0.47159090909090917
2012-02-12,0.0,0.0,0.0,False,False,-0.47159090909090917
2012-02-13,-0.008181818181818182,-0.0303125,-0.038494318181818185,False,True,-0.5100852272727273
2012-02-14,-0.008181818181818182,-0.0303125,-0.038494318181818185,False,True,-0.5485795454545455
2012-02-15,-0.008181818181818182,-0.0303125,-0.038494318181818185,False,True,-0.5870738636363636
2012-02-16,-0.008181818181818182,-0.0303125,-0.038494318181818185,False,True,-0.6255681818181817
